"id","name","rate"
2188,"Northwest Arctic  ",0
2261,"Valdez-Cordova Cens ",0
2100,"Haines  ",0
2070,"Dillingham Cens ",0
2110,"Juneau City and  ",0
2150,"Kodiak Island  ",0
2198,"Prince of Wales-Hyder Cens ",0
2050,"Bethel Cens ",0
2122,"Kenai Peninsula  ",0
2180,"Nome Cens ",0
2282,"Yakutat City and  ",0
2270,"Wade Hampton Cens ",0
2105,"Hoonah-Angoon Cens ",0
2240,"Southeast Fairbanks Cens ",0
2060,"Bristol Bay  ",0
2090,"Fairbanks North Star  ",0
2290,"Yukon-Koyukuk Cens ",0
2020,"Anchorage Munic ",0
2130,"Ketchikan Gateway  ",0
2230,"Skagway Munic ",0
2220,"Sitka City and  ",0
2170,"Matanuska-Susitna  ",0
2185,"North Slope  ",0
2195,"Petersburg Cens ",0
2275,"Wrangell City and  ",0
2068,"Denali  ",0
2013,"Aleutians East  ",0
2016,"Aleutians West Cens ",0
2164,"Lake and Peninsula  ",0
1045,"Dale ",22.423719127095
1061,"Geneva ",13.474563799905
1041,"Crenshaw ",6.631378280865
1019,"Cherokee ",10.77243244038
1047,"Dallas ",21.979583956395
1073,"Jefferson ",349.139369394855
1055,"Etowah ",53.531827823565
1003,"Baldwin ",89.366977284975
1017,"Chambers ",16.744415662845
1025,"Clarke ",12.894308836695
1049,"DeKalb ",34.184375502615
1037,"Coosa ",5.52085735149
1129,"Washington ",8.43911481114
1065,"Hale ",8.54495864937
1067,"Henry ",8.71927474977
1005,"Barbour ",13.58933084613
1009,"Blount ",22.12088882328
1079,"Lawrence ",17.71099892757
1127,"Walker ",33.43986958338
1087,"Macon ",11.10271069791
1083,"Limestone ",41.41097592138
1013,"Butler ",10.03481962002
1085,"Lowndes ",5.316340937895
1115,"St. Clair ",39.520693007055
1093,"Marion ",13.878008946945
1117,"Shelby ",98.362141912125
1077,"Lauderdale ",47.026528591185
1051,"Elmore ",44.535204055485
1033,"Colbert ",25.99347325185
1029,"Cleburne ",7.03625084838
1021,"Chilton ",19.314167803515
1089,"Madison ",176.874489297675
1043,"Cullman ",39.49648541982
1113,"Russell ",26.71787572272
1119,"Sumter ",6.87148992504
1075,"Lamar ",7.495101870165
1107,"Pickens ",9.804297313395
1105,"Perry ",4.587360961365
1125,"Tuscaloosa ",110.07532252665
1007,"Bibb ",12.33983284326
1121,"Talladega ",40.349675378025
1109,"Pike ",19.103412220425
1101,"Montgomery ",119.221195915575
1111,"Randolph ",11.154163715955
1131,"Wilcox ",5.449776691905
1023,"Choctaw ",6.678602718255
1081,"Lee ",78.207979859685
1133,"Winston ",12.93839782911
1031,"Coffee ",25.30968272352
1059,"Franklin ",16.84193654169
1063,"Greene ",4.21797138282
1123,"Tallapoosa ",17.95148877717
1103,"Morgan ",59.832120195315
1071,"Jackson ",27.347392552545
1053,"Escambia ",19.39675078809
1039,"Covington ",18.831689922825
1099,"Monroe ",11.02261898907
1097,"Mobile ",209.21376889413
1091,"Marengo ",9.65225629251
1035,"Conecuh ",6.22829669904
1011,"Bullock ",6.07191485589
1069,"Houston ",52.18281299322
1027,"Clay ",6.58683056187
1095,"Marshall ",48.7794716955
1057,"Fayette ",8.235266967135
1015,"Calhoun ",65.641131040095
1001,"Autauga ",26.566581352545
5133,"Sevier ",0
5079,"Lincoln ",0
5049,"Fulton ",0
5089,"Marion ",0
5129,"Searcy ",0
5035,"Crittenden ",0
5105,"Perry ",0
5057,"Hempstead ",0
5055,"Greene ",0
5111,"Poinsett ",0
5023,"Cleburne ",0
5031,"Craighead ",0
5115,"Pope ",0
5131,"Sebastian ",0
5101,"Newton ",0
5025,"Cleveland ",0
5087,"Madison ",0
5045,"Faulkner ",0
5077,"Lee ",0
5147,"Woodruff ",0
5029,"Conway ",0
5071,"Johnson ",0
5083,"Logan ",0
5127,"Scott ",0
5069,"Jefferson ",0
5139,"Union ",0
5073,"Lafayette ",0
5125,"Saline ",0
5041,"Desha ",0
5093,"Mississippi ",0
5097,"Montgomery ",0
5113,"Polk ",0
5061,"Howard ",0
5007,"Benton ",0
5053,"Grant ",0
5003,"Ashley ",0
5037,"Cross ",0
5091,"Miller ",0
5027,"Columbia ",0
5065,"Izard ",0
5107,"Phillips ",0
5005,"Baxter ",0
5001,"Arkansas ",0
