"id","rate"
2180,696.035173533386
2270,487.163934106577
2220,12.292357057503
2070,354.11035500403
2185,845.12462411173
2230,12.292357057503
2261,787.559638935012
2050,1206.89041324403
2105,12.292357057503
2275,12.292357057503
2240,562.257574600153
2130,1104.20030823279
2110,12.292357057503
2122,4429.90906495586
2090,8162.37167086459
2060,82.9440314047779
2290,433.891071243631
2188,540.95725536734
2170,6928.81532453214
2013,336.823613274063
2016,517.89347459106
2198,12.292357057503
2100,199.584609517007
2068,149.602533561923
2164,115.654731076217
2150,1073.08909006168
2020,12.292357057503
2282,12.292357057503
2195,12.292357057503
1133,619.665433653028
1057,394.415998353864
1101,5709.92308503197
1073,16721.5143509214
1079,848.242091664222
1051,2132.94777522983
1005,650.840890072061
1097,10019.9843709962
1013,480.602828614423
1093,664.666683492204
1029,336.99080770829
1041,317.600111495839
1119,329.099843341866
1085,254.618276913227
1127,1601.55310412852
1089,8471.14233423827
1049,1637.21018334718
1125,5271.89492932557
1009,1059.44732400577
1081,3745.65561807476
1067,417.596765446919
1017,801.949015951417
1019,515.929710188249
1055,2563.82779384617
1033,1244.9190201459
1039,901.916000649916
1007,590.998046756008
1061,645.344328328576
1003,4280.099333289
1095,2336.2207097871
1031,1212.1699190952
1077,2252.26615808062
1025,617.553906608465
1071,1309.76293303072
1099,527.912095798902
1115,1892.78519580244
1047,1052.67975966355
1075,358.966838752246
1083,1983.31755388738
1053,928.978781993384
1037,264.413318405107
1123,859.759985163545
1121,1932.48805728312
1045,1073.95093068047
1069,2499.21876906788
1131,261.008947808066
1059,806.619692167888
1023,319.861824453538
1043,1891.62586388658
1105,219.70492522532
1107,469.562383061001
1035,298.295096014129
1103,2865.57102064783
1091,462.280499485377
1111,534.212154134733
1021,925.023573148871
1011,290.80541024595
1113,1279.61314032496
1117,4710.90952347976
1065,409.248119589151
1129,404.178982962017
1001,1272.36711035799
1063,202.013517840822
1015,3143.78496449234
1109,914.929725490488
1087,531.747883944698
1027,315.466469507069
5099,367.467484276389
5143,9686.06595426484
5117,314.522690721078
5055,1761.44755285182
5139,1780.24622620413
5039,336.23242309687
5045,5171.18186786582
5089,609.683440881185
5097,302.784928889108
5101,320.915259429456
5077,451.063648260362
5105,465.962551868736
5035,2121.71496381687
5093,1940.6819534305
5023,1043.61842770706
5027,1099.81626897867
5065,584.328880908903
5131,5451.98437487778
5083,946.430325963454
